"Newspaper","Accepts (2011)","Suggests doubt (2011)","Rejects (2011)","Unable to discern (2011)","2011 total","Accepts (2012)","Suggests doubt (2012)","Rejects (2012)","Unable to discern (2012)","2012 total","Accepts (total)","Suggests doubt (total)","Rejects (total)","Unable to discern (total)","Grand total"
"The Advertiser","5 (63%)","2 (25%)","1 (13%)","0 (0%)","8 (100%)","2 (29%)","1 (14%)","4 (57%)","0 (0%)","7 (100%)","7 (47%)","3 (20%)","5 (33%)","0 (0%)","15 (100%)"
"The Age","10 (71%)","4 (29%)","0 (0%)","0 (0%)","14 (100%)","5 (71%)","1 (14%)","1 (14%)","0 (0%)","7 (100%)","15 (71%)","5 (24%)","1 (5%)","0 (0%)","21 (100%)"
"The Australian","11 (69%)","4 (25%)","1 (6%)","0 (0%)","16 (100%)","6 (32%)","10 (53%)","3 (16%)","0 (0%)","19 (100%)","17 (49%)","14 (40%)","4 (11%)","0 (0%)","35 (100%)"
"The Courier Mail","1 (50%)","1 (50%)","0 (0%)","0 (0%)","2 (100%)","3 (60%)","0 (0%)","1 (20%)","1 (20%)","5 (100%)","4 (57%)","1 (14%)","1 (14%)","1 (14%)","7 (100%)"
"The Daily Telegraph","3 (30%)","3 (30%)","4 (40%)","0 (0%)","10 (100%)","1 (6%)","2 (13%)","13 (81%)","0 (0%)","16 (100%)","4 (15%)","5 (19%)","17 (65%)","0 (0%)","26 (100%)"
"Herald Sun","1 (5%)","6 (29%)","14 (67%)","0 (0%)","21 (100%)","0 (0%)","2 (18%)","9 (82%)","0 (0%)","11 (100%)","1 (3%)","8 (25%)","23 (72%)","0 (0%)","32 (100%)"
"The Mercury","8 (100%)","0 (0%)","0 (0%)","0 (0%)","8 (100%)","4 (80%)","0 (0%)","1 (20%)","0 (0%)","5 (100%)","12 (92%)","0 (0%)","1 (8%)","0 (0%)","13 (100%)"
"The Northern Territory News","1 (33%)","1 (33%)","1 (33%)","0 (0%)","3 (100%)","0 (0%)","1 (25%)","3 (75%)","0 (0%)","4 (100%)","1 (14%)","2 (29%)","4 (57%)","0 (0%)","7 (100%)"
"The Sydney Morning Herald","19 (100%)","0 (0%)","0 (0%)","0 (0%)","19 (100%)","5 (71%)","0 (0%)","1 (14%)","1 (14%)","7 (100%)","24 (92%)","0 (0%)","1 (4%)","1 (4%)","26 (100%)"
"The West Australian","2 (67%)","1 (33%)","0 (0%)","0 (0%)","3 (100%)","0 (0%)","1 (100%)","0 (0%)","0 (0%)","1 (100%)","2 (50%)","2 (50%)","0 (0%)","0 (0%)","4 (100%)"
"Total","61 (59%)","22 (21%)","21 (20%)","0 (0%)","104 (100%)","26 (32%)","18 (22%)","36 (44%)","2 (2%)","82 (100%)","87 (47%)","40 (22%)","57 (31%)","2 (1%)","186 (100%)"
