"Newspaper","Comment (2011)","Editorial (2011)","Feature (2011)","News (2011)","2011 total","Comment (2012)","Editorial (2012)","Feature (2012)","News (2012)","2012 total","Comment (total)","Editorial (total)","Feature (total)","News (total)","Grand total"
"The Advertiser","6234 (54%)","785 (7%)","2734 (24%)","1688 (15%)","11441 (100%)","5096 (54%)","0 (0%)","390 (4%)","4005 (42%)","9491 (100%)","11330 (54%)","785 (4%)","3124 (15%)","5693 (27%)","20932 (100%)"
"The Age","12755 (47%)","2744 (10%)","8030 (30%)","3575 (13%)","27104 (100%)","5763 (33%)","1318 (8%)","3523 (20%)","6694 (39%)","17298 (100%)","18518 (42%)","4062 (9%)","11553 (26%)","10269 (23%)","44402 (100%)"
"The Australian","19160 (30%)","1944 (3%)","35203 (54%)","8572 (13%)","64879 (100%)","16948 (41%)","1736 (4%)","10692 (26%)","11930 (29%)","41306 (100%)","36108 (34%)","3680 (3%)","45895 (43%)","20502 (19%)","106185 (100%)"
"The Courier Mail","1053 (7%)","542 (4%)","7217 (48%)","6191 (41%)","15003 (100%)","2710 (36%)","0 (0%)","1599 (21%)","3265 (43%)","7574 (100%)","3763 (17%)","542 (2%)","8816 (39%)","9456 (42%)","22577 (100%)"
"The Daily Telegraph","9262 (53%)","136 (1%)","6045 (35%)","1942 (11%)","17385 (100%)","9464 (68%)","226 (2%)","1205 (9%)","3103 (22%)","134481 (100%)","18726 (60%)","362 (6%)","2445 (25%)","3796 (38%)","9888 (100%)"
"Herald Sun","14912 (78%)","576 (3%)","1614 (8%)","2003 (10%)","19105 (100%)","7097 (88%)","0 (0%)","71 (1%)","917 (11%)","8085 (100%)","22009 (80%)","576 (2%)","1685 (6%)","2920 (11%)","27190 (100%)"
"The Mercury","6476 (58%)","0 (0%)","1767 (16%)","2846 (26%)","11089 (100%)","4740 (63%)","0 (0%)","1294 (17%)","1486 (20%)","7520 (100%)","11216 (60%)","0 (0%)","3061 (16%)","4332 (23%)","18609 (100%)"
"The Northern Territory News","2345 (77%)","0 (0%)","283 (9%)","405 (13%)","3033 (100%)","2810 (68%)","0 (0%)","324 (8%)","1008 (24%)","4142 (100%)","5155 (72%)","0 (0%)","607 (8%)","1413 (20%)","7175 (100%)"
"The Sydney Morning Herald","18927 (45%)","2068 (5%)","16144 (39%)","4482 (11%)","41621 (100%)","5067 (22%)","774 (3%)","5492 (24%)","11244 (50%)","22577 (100%)","23994 (37%)","2842 (4%)","21636 (34%)","15726 (24%)","64198 (100%)"
"The West Australian","2353 (32%)","502 (7%)","2445 (33%)","2098 (28%)","7398 (100%)","691 (28%)","101 (4%)","0 (0%)","1698 (68%)","2490 (100%)","3044 (31%)","603 (6%)","2445 (25%)","3796 (38%)","9888 (100%)"
"Total","93477 (43%)","9297 (4%)","81482 (37%)","33802 (16%)","218058 (100%)","60386 (45%)","4155 (3%)","24590 (18%)","45350 (34%)","134481 (100%)","153863 (44%)","13452 (4%)","106072 (30%)","79152 (22%)","352539 (100%)"
