"Newspaper","Accepts (2011)","Suggests doubt (2011)","Rejects (2011)","Unable to discern (2011)","2011 total","Accepts (2012)","Suggests doubt (2012)","Rejects (2012)","Unable to discern (2012)","2012 total","Accepts (total)","Suggests doubt (total)","Rejects (total)","Unable to discern (total)","Grand total"
"The Advertiser","18 (72%)","6 (24%)","1 (4%)","0 (0%)","25 (100%)","14 (56%)","3 (12%)","4 (16%)","4 (16%)","25 (100%)","32 (64%)","9 (18%)","5 (10%)","4 (8%)","50 (100%)"
"The Age","31 (79%)","4 (10%)","0 (0%)","4 (10%)","39 (100%)","28 (88%)","2 (6%)","1 (3%)","1 (3%)","32 (100%)","59 (83%)","6 (8%)","1 (1%)","5 (7%)","71 (100%)"
"The Australian","46 (58%)","29 (37%)","3 (4%)","1 (1%)","79 (100%)","28 (44%)","31 (48%)","4 (6%)","1 (2%)","64 (100%)","74 (52%)","60 (42%)","7 (5%)","2 (1%)","143 (100%)"
"The Courier Mail","27 (96%)","1 (4%)","0 (0%)","0 (0%)","28 (100%)","21 (84%)","0 (0%)","1 (4%)","3 (12%)","25 (100%)","48 (91%)","1 (2%)","1 (2%)","3 (6%)","53 (100%)"
"The Daily Telegraph","18 (60%)","5 (17%)","7 (23%)","0 (0%)","30 (100%)","6 (17%)","15 (43%)","14 (40%)","0 (0%)","35 (100%)","24 (37%)","20 (31%)","21 (32%)","0 (0%)","65 (100%)"
"Herald Sun","10 (30%)","8 (24%)","14 (42%)","1 (3%)","33 (100%)","5 (31%)","2 (13%)","9 (56%)","0 (0%)","16 (100%)","15 (31%)","10 (20%)","23 (47%)","1 (2%)","49 (100%)"
"The Mercury","20 (87%)","2 (9%)","0 (0%)","1 (4%)","23 (100%)","12 (92%)","0 (0%)","1 (8%)","0 (0%)","13 (100%)","32 (89%)","2 (6%)","1 (3%)","1 (3%)","36 (100%)"
"The Northern Territory News","6 (75%)","1 (13%)","1 (13%)","0 (0%)","8 (100%)","4 (45%)","3 (27%)","3 (27%)","0 (0%)","11 (100%)","11 (58%)","4 (21%)","4 (21%)","0 (0%)","19 (100%)"
"The Sydney Morning Herald","44 (86%)","6 (12%)","0 (0%)","1 (2%)","51 (100%)","35 (85%)","3 (7%)","1 (2%)","2 (5%)","41 (100%)","79 (86%)","9 (10%)","1 (1%)","3 (3%)","92 (100%)"
"The West Australian","13 (81%)","2 (13%)","1 (6%)","0 (0%)","16 (100%)","7 (88%)","1 (13%)","0 (0%)","0 (0%)","8 (100%)","20 (83%)","3 (13%)","1 (4%)","0 (0%)","24 (100%)"
"Total","233 (70%)","64 (19%)","27 (8%)","8 (2%)","332 (100%)","161 (60%)","60 (22%)","38 (14%)","11 (4%)","270 (100%)","394 (65%)","124 (21%)","65 (11%)","19 (3%)","602 (100%)"
